OWNER_ID,AGE,GENDER,CITY_ID,CITY_DISTRICT,BREED1,BREED1_MIX,BREED2,RACE_TYPE,DOGS_YEAR_OF_BIRTH,DOGS_COLOR,AGE_YEARS,BREED_REDUCED_Beagle,BREED_REDUCED_Berner Sennenhund,BREED_REDUCED_Bolonka Zwetna,BREED_REDUCED_Border Collie,BREED_REDUCED_Cairn Terrier,BREED_REDUCED_Chihuahua,BREED_REDUCED_Cocker Spaniel,BREED_REDUCED_Dachshund,BREED_REDUCED_Dackel,BREED_REDUCED_Deutscher Schï¿½fer,BREED_REDUCED_Franzï¿½sische Bulldogge,BREED_REDUCED_Golden Retriever,BREED_REDUCED_Jack Russel Terrier,BREED_REDUCED_Labrador Retriever,BREED_REDUCED_Malteser,BREED_REDUCED_Mischling gross,BREED_REDUCED_Mischling klein,BREED_REDUCED_Mops,BREED_REDUCED_Other,BREED_REDUCED_Pekingese,BREED_REDUCED_Pinscher,BREED_REDUCED_Pudel,BREED_REDUCED_Schï¿½fer,BREED_REDUCED_Shih Tzu,BREED_REDUCED_Terrier,BREED_REDUCED_West Highland White Terrier,BREED_REDUCED_Yorkshire Terrier,BREED_REDUCED_Zwergpinscher,BREED_REDUCED_Zwergpudel,BREED_REDUCED_Zwergspitz,Cluster_GMM,Cluster_Hier
126,51-60,m,0.4847608469318532,0.4610048961153865,Welsh Terrier,,,K,2011,schwarz/braun,-0.0561539451495859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
574,61-70,w,-1.664550857341318,-1.6293307193425195,Cairn Terrier,,,K,2002,brindle,0.1252878218649696,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
695,41-50,m,-0.4363727406137915,-0.4175419567582263,Labrador Retriever,,,I,2012,braun,-0.0763141414845365,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3
893,61-70,w,-0.1293282114319099,-0.1751842042413676,Mittelschnauzer,,,I,2010,schwarz,-0.0359937488146353,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
1177,51-60,m,0.7918053761137348,0.7639520867614599,Shih Tzu,,,K,2011,schwarz/weiss,-0.0561539451495859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0
4004,61-70,w,-1.3575063281594362,-1.296088809631839,Dackel,,,K,2010,braun,-0.0359937488146353,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
4050,41-50,w,1.0988499052956164,1.036604558342926,Bichon frisï¿½,,,K,2012,weiss,-0.0763141414845365,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4155,61-70,w,0.4847608469318532,0.4610048961153865,Zwergdackel,,,K,2002,schwarz/grau,0.1252878218649696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4203,41-50,w,-1.664550857341318,-1.6899201574717344,Labrador Retriever,,Leonberger,I,2005,braun/schwarz,0.0648072328601177,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3
4215,41-50,w,0.1777163177499716,0.1277629864047057,Bergamasker,Mischling,,I,2004,schwarz,0.0849674291950683,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4215,41-50,w,0.1777163177499716,0.1277629864047057,Border Collie,Mischling,,I,2001,schwarz,0.1454480181999202,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
4215,41-50,w,0.1777163177499716,0.1277629864047057,Bergamasker,Mischling,,I,2001,grau/braun,0.1454480181999202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4239,61-70,w,0.7918053761137348,0.7639520867614599,Pinscher,Mischling,,K,2013,braun/schwarz,-0.0964743378194871,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,0
4261,71-80,w,-0.1293282114319099,-0.1751842042413676,Labrador Retriever,,,I,2012,beige,-0.0763141414845365,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3
4281,61-70,w,0.4847608469318532,0.4307101770507791,Chihuahua,,,K,2011,hellbraun,-0.0561539451495859,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1
4281,61-70,w,0.4847608469318532,0.4307101770507791,Chihuahua,,,K,2014,schwarz/weiss/braun,-0.1166345341544378,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1
4362,61-70,w,-0.1293282114319099,-0.0843000470475455,West Highland White Terrier,,,K,2002,weiss,0.1252878218649696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0
4726,51-60,m,-0.7434172697956731,-0.750783866468907,Mischling klein,,,K,2007,schwarz,0.0244868401902165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1
4726,51-60,m,-0.7434172697956731,-0.750783866468907,Golden Retriever,,,I,2013,creme,-0.0964743378194871,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
4786,41-50,m,-1.3575063281594362,-1.296088809631839,Weimaraner,,,I,2013,silber,-0.0964743378194871,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4801,51-60,m,-1.0504617989775549,-1.0537310571149805,Tibetan Spaniel,,,K,2013,schwarz/braun,-0.0964743378194871,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4880,51-60,m,-0.7434172697956731,-0.750783866468907,Leonberger,,,I,2011,goldbraun,-0.0561539451495859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4889,51-60,m,0.1777163177499716,0.1580577054693131,Shiba Inu,,,K,2003,rotbraun,0.105127625530019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
4908,51-60,m,-0.7434172697956731,-0.7810785855335144,Mischling klein,,,K,1999,hellbraun,0.1857684108698214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1
4908,51-60,m,-0.7434172697956731,-0.7810785855335144,Mischling klein,,,K,2000,schwarz/braun/weiss,0.1656082145348708,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1
5088,51-60,m,-0.1293282114319099,-0.1448894851767602,Labrador Retriever,,,I,2014,schwarz,-0.1166345341544378,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3
5113,51-60,m,1.0988499052956164,1.2789623108597843,Beagle,,,K,2010,tricolor,-0.0359937488146353,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
5225,61-70,m,-1.3575063281594362,-1.296088809631839,Lagotto Romagnolo,,,I,2007,braun,0.0244868401902165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
5227,61-70,m,0.7918053761137348,0.7336573676968525,Border Terrier,,,K,2011,tricolor,-0.0561539451495859,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
5348,61-70,m,-0.1293282114319099,-0.0843000470475455,Magyar Viszla,,,I,2005,gelb,0.0648072328601177,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
5361,61-70,m,-0.1293282114319099,-0.0843000470475455,Prager Rattler,,,K,2000,schwarz/braun,0.1656082145348708,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1
5406,51-60,m,-0.4363727406137915,-0.478131394887441,Franzï¿½sische Bulldogge,,,K,2013,weiss/schwarz,-0.0964743378194871,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0
